"","M1","M2","M3","M4","M5","M6"
"ASV528",16,0,0,0,0,0
"ASV529",16,0,0,0,0,0
"ASV530",0,16,0,0,0,0
"ASV531",0,16,0,0,0,0
"ASV532",0,16,0,0,0,0
"ASV533",0,14,0,0,2,0
"ASV535",0,0,1,6,9,0
"ASV536",0,0,0,16,0,0
"ASV537",0,0,0,0,0,16
"ASV538",15,0,0,0,0,0
"ASV539",15,0,0,0,0,0
"ASV540",15,0,0,0,0,0
"ASV541",5,0,6,4,0,0
"ASV542",0,15,0,0,0,0
"ASV544",0,0,0,15,0,0
"ASV545",14,0,0,0,0,0
"ASV547",14,0,0,0,0,0
"ASV548",14,0,0,0,0,0
"ASV549",0,14,0,0,0,0
"ASV550",0,0,14,0,0,0
"ASV551",0,0,14,0,0,0
"ASV552",0,0,14,0,0,0
"ASV553",0,0,0,14,0,0
"ASV554",0,0,0,14,0,0
"ASV555",13,0,0,0,0,0
"ASV556",13,0,0,0,0,0
"ASV557",13,0,0,0,0,0
"ASV558",11,0,0,2,0,0
"ASV559",4,0,0,4,0,5
"ASV560",0,13,0,0,0,0
"ASV561",0,0,13,0,0,0
"ASV562",0,0,0,0,6,7
"ASV563",12,0,0,0,0,0
"ASV564",12,0,0,0,0,0
"ASV565",12,0,0,0,0,0
"ASV567",3,0,3,6,0,0
"ASV568",0,12,0,0,0,0
"ASV570",0,12,0,0,0,0
"ASV572",0,0,5,7,0,0
"ASV573",0,0,0,12,0,0
"ASV574",0,0,0,0,7,5
"ASV575",0,0,0,0,0,12
"ASV576",11,0,0,0,0,0
"ASV577",0,11,0,0,0,0
"ASV578",0,0,11,0,0,0
"ASV579",0,0,8,3,0,0
"ASV580",0,0,6,5,0,0
"ASV581",0,0,0,11,0,0
"ASV582",0,0,0,0,11,0
"ASV583",0,0,0,0,0,11
"ASV584",0,0,0,0,0,11
"ASV585",10,0,0,0,0,0
"ASV586",10,0,0,0,0,0
"ASV587",10,0,0,0,0,0
"ASV589",0,0,10,0,0,0
"ASV590",0,0,7,0,3,0
"ASV591",0,0,6,0,0,4
"ASV592",0,0,0,10,0,0
"ASV593",0,0,0,0,10,0
"ASV594",9,0,0,0,0,0
"ASV596",9,0,0,0,0,0
"ASV597",0,9,0,0,0,0
"ASV598",0,9,0,0,0,0
"ASV602",0,0,0,9,0,0
"ASV603",0,0,0,9,0,0
"ASV604",0,0,0,0,9,0
"ASV605",0,0,0,0,9,0
"ASV606",8,0,0,0,0,0
"ASV607",0,6,0,0,0,2
"ASV608",0,0,8,0,0,0
"ASV609",0,0,0,8,0,0
"ASV611",0,0,0,8,0,0
"ASV612",0,0,0,0,8,0
"ASV613",7,0,0,0,0,0
"ASV615",0,0,0,7,0,0
"ASV616",0,0,0,7,0,0
"ASV618",0,0,0,0,0,7
"ASV619",0,0,0,0,0,7
"ASV620",0,0,0,0,0,7
"ASV621",6,0,0,0,0,0
"ASV623",0,6,0,0,0,0
"ASV624",0,6,0,0,0,0
"ASV625",0,6,0,0,0,0
"ASV627",0,0,6,0,0,0
"ASV628",0,0,4,2,0,0
"ASV629",0,0,2,4,0,0
"ASV630",0,0,0,6,0,0
"ASV631",0,0,0,6,0,0
"ASV632",0,0,0,6,0,0
"ASV633",0,0,0,0,6,0
"ASV634",0,0,0,0,6,0
"ASV635",0,0,0,0,0,6
"ASV636",5,0,0,0,0,0
"ASV637",0,0,5,0,0,0
"ASV639",0,0,5,0,0,0
"ASV640",0,0,0,5,0,0
"ASV641",0,0,0,5,0,0
"ASV642",0,0,0,5,0,0
"ASV643",0,0,0,0,5,0
"ASV644",0,0,0,0,5,0
"ASV645",0,0,0,0,0,5
"ASV646",0,0,0,0,0,5
"ASV647",0,0,0,0,0,5
"ASV648",4,0,0,0,0,0
"ASV649",4,0,0,0,0,0
"ASV650",4,0,0,0,0,0
"ASV651",4,0,0,0,0,0
"ASV652",0,4,0,0,0,0
"ASV653",0,4,0,0,0,0
"ASV654",0,4,0,0,0,0
"ASV655",0,0,4,0,0,0
"ASV656",0,0,4,0,0,0
"ASV657",0,0,4,0,0,0
"ASV658",0,0,4,0,0,0
"ASV659",0,0,0,4,0,0
"ASV660",0,0,0,4,0,0
"ASV661",0,0,0,4,0,0
"ASV663",0,0,0,4,0,0
"ASV664",0,0,0,2,0,2
"ASV666",0,0,0,0,4,0
"ASV667",0,0,0,0,0,4
"ASV668",3,0,0,0,0,0
"ASV669",3,0,0,0,0,0
"ASV671",0,3,0,0,0,0
"ASV672",0,0,3,0,0,0
"ASV673",0,0,3,0,0,0
"ASV675",0,0,3,0,0,0
"ASV677",0,0,0,3,0,0
"ASV678",0,0,0,3,0,0
"ASV679",0,0,0,3,0,0
"ASV680",0,0,0,3,0,0
"ASV681",0,0,0,0,3,0
"ASV682",0,0,0,0,3,0
"ASV683",0,0,0,0,0,3
"ASV684",0,0,0,0,0,3
"ASV685",0,0,0,0,0,3
"ASV686",2,0,0,0,0,0
"ASV687",2,0,0,0,0,0
"ASV688",2,0,0,0,0,0
"ASV689",0,2,0,0,0,0
"ASV692",0,0,2,0,0,0
"ASV693",0,0,2,0,0,0
"ASV694",0,0,2,0,0,0
"ASV695",0,0,0,2,0,0
"ASV697",0,0,0,2,0,0
"ASV698",0,0,0,0,2,0
"ASV699",0,0,0,0,0,2
"ASV700",0,0,0,0,0,2
"ASV701",0,1,0,0,0,0
"ASV702",0,0,0,1,0,0
"ASV703",0,0,0,0,0,1
