"","M1","M2","M3","M4","M5","M6"
"ASV287",7,11,16,7,8,0
"ASV288",0,0,11,12,13,6
"ASV289",49,0,0,0,0,0
"ASV290",11,33,4,6,6,0
"ASV291",3,60,5,5,0,2
"ASV292",0,0,0,0,0,35
"ASV293",0,0,0,0,0,38
"ASV294",0,0,8,10,14,5
"ASV295",35,13,0,0,0,0
"ASV296",0,0,16,14,8,0
"ASV297",0,0,15,12,15,0
"ASV298",48,0,0,0,0,0
"ASV299",5,0,9,10,6,12
"ASV300",0,77,0,0,0,0
"ASV301",0,23,11,12,0,6
"ASV302",0,0,7,14,11,10
"ASV303",23,24,0,0,0,0
"ASV304",18,18,0,12,0,0
"ASV305",0,0,7,16,10,6
"ASV306",15,46,0,0,0,0
"ASV307",18,47,0,0,0,0
"ASV308",0,75,0,0,0,0
"ASV309",0,0,13,10,13,0
"ASV310",16,0,14,15,0,0
"ASV311",0,0,15,25,0,0
"ASV313",0,0,15,11,8,9
"ASV314",39,0,0,0,0,0
"ASV315",0,0,11,10,11,13
"ASV316",0,0,0,3,17,12
"ASV317",29,26,0,0,0,0
"ASV318",6,4,8,6,8,4
"ASV320",0,0,0,22,12,6
"ASV321",0,0,0,11,12,14
"ASV322",16,19,0,19,0,0
"ASV323",38,0,0,0,0,0
"ASV324",0,0,11,15,10,0
"ASV325",0,0,6,6,6,13
"ASV326",40,0,0,0,0,0
"ASV327",2,59,0,0,0,0
"ASV329",0,0,5,0,28,2
"ASV330",5,35,0,0,10,0
"ASV331",0,57,1,0,0,0
"ASV332",9,53,0,0,0,0
"ASV333",29,0,0,0,0,0
"ASV334",20,25,0,0,0,0
"ASV335",0,0,22,9,0,0
"ASV336",0,0,0,0,14,12
"ASV337",11,0,6,13,7,3
"ASV338",0,63,0,0,0,0
"ASV339",0,0,0,11,7,13
"ASV340",43,0,0,0,0,0
"ASV341",38,0,0,0,0,0
"ASV342",12,21,0,4,0,0
"ASV343",33,0,0,0,0,0
"ASV344",0,33,0,16,0,0
"ASV346",37,0,0,0,0,0
"ASV347",35,0,0,0,0,0
"ASV348",8,30,4,0,0,1
"ASV349",0,0,6,12,8,0
"ASV350",16,12,2,5,0,0
"ASV351",11,39,0,0,0,0
"ASV352",0,0,13,0,0,18
"ASV353",0,0,9,5,7,5
"ASV354",0,0,0,0,26,6
"ASV355",22,24,0,0,0,0
"ASV356",0,0,6,2,14,4
"ASV357",0,22,10,0,8,0
"ASV358",0,0,11,18,0,5
"ASV359",6,41,0,0,0,0
"ASV360",0,53,0,0,0,0
"ASV363",28,0,0,0,0,0
"ASV364",15,32,0,0,0,0
"ASV365",0,0,0,10,6,10
"ASV366",17,0,0,8,0,2
"ASV367",13,31,0,0,0,0
"ASV368",0,51,0,0,0,0
"ASV369",0,0,9,9,17,0
"ASV370",0,0,10,4,2,3
"ASV371",32,0,0,0,0,0
"ASV372",4,7,3,10,2,1
"ASV373",0,49,0,0,0,0
"ASV374",0,0,4,7,5,4
"ASV375",25,7,0,0,0,0
"ASV376",0,48,0,0,0,0
"ASV377",0,0,13,0,9,0
"ASV378",0,0,14,5,6,0
"ASV379",0,0,1,6,9,6
"ASV380",0,0,0,0,28,0
"ASV381",0,0,0,0,0,20
"ASV382",0,0,0,0,6,21
"ASV383",0,0,12,8,0,0
"ASV384",26,0,0,0,0,0
"ASV385",0,43,0,0,0,0
"ASV386",0,0,0,14,4,0
"ASV387",22,0,0,0,0,0
"ASV388",0,0,0,0,14,0
"ASV389",16,11,0,0,0,0
"ASV390",0,18,6,6,0,0
"ASV391",0,0,7,7,2,0
"ASV392",0,0,0,0,13,6
"ASV393",23,0,0,0,0,0
"ASV394",21,0,0,0,0,0
"ASV395",29,0,0,0,0,0
"ASV396",22,0,0,0,0,3
"ASV397",10,25,0,0,0,0
"ASV399",0,0,0,0,10,14
"ASV400",0,38,0,0,0,0
"ASV401",0,39,0,0,0,0
"ASV403",0,0,0,18,0,0
"ASV404",17,13,0,0,0,0
"ASV405",0,38,0,0,0,0
"ASV407",17,0,0,0,0,0
"ASV408",17,11,0,0,0,0
"ASV409",10,0,7,0,0,0
"ASV410",0,37,0,0,0,0
"ASV411",0,0,5,0,11,0
"ASV412",24,0,0,0,0,0
"ASV413",5,26,0,0,0,0
"ASV415",2,9,5,4,0,0
"ASV416",0,36,0,0,0,0
"ASV417",0,0,9,4,6,1
"ASV418",18,0,0,0,0,0
"ASV419",0,35,0,0,0,0
"ASV420",0,34,0,0,0,0
"ASV421",0,0,6,5,3,4
"ASV423",0,0,9,7,0,0
"ASV424",18,0,0,0,0,0
"ASV425",9,12,6,0,0,0
"ASV426",0,34,0,0,0,0
"ASV427",0,34,0,0,0,0
"ASV428",0,0,6,6,2,0
"ASV429",19,0,0,0,0,0
"ASV430",26,0,0,0,0,0
"ASV431",7,16,0,0,0,0
"ASV432",0,0,5,11,0,0
"ASV433",23,0,0,0,0,0
"ASV434",8,16,0,0,0,0
"ASV435",0,31,0,0,0,0
"ASV437",0,30,0,0,0,0
"ASV438",0,0,0,3,5,5
"ASV439",17,0,0,0,0,0
"ASV440",15,8,0,0,0,0
"ASV441",10,0,4,2,0,2
"ASV442",8,8,7,0,0,0
"ASV443",0,29,0,0,0,0
"ASV444",0,0,8,5,0,0
"ASV445",0,0,9,9,0,0
"ASV446",0,0,0,1,11,4
"ASV448",0,0,0,0,0,13
"ASV449",16,0,0,0,0,0
"ASV450",6,16,0,0,0,0
"ASV451",6,7,7,0,0,0
"ASV452",0,6,5,9,0,0
"ASV453",0,0,0,0,5,6
"ASV455",0,27,0,0,0,0
"ASV456",0,0,16,0,0,0
"ASV457",0,0,9,0,7,0
"ASV458",0,0,0,0,12,0
"ASV459",16,0,0,0,0,0
"ASV460",12,0,0,0,0,0
"ASV461",4,16,0,0,0,0
"ASV462",0,0,5,3,3,0
"ASV463",0,0,7,7,0,3
"ASV464",0,0,3,2,3,0
"ASV465",0,0,0,0,0,14
"ASV466",17,0,0,0,0,0
"ASV467",3,0,7,5,0,0
"ASV468",0,0,0,15,0,0
"ASV469",0,0,0,0,7,5
"ASV470",14,0,0,0,0,0
"ASV471",8,0,0,0,0,0
"ASV472",0,24,0,0,0,0
"ASV473",0,23,0,0,0,0
"ASV474",0,24,0,0,0,0
"ASV475",0,0,3,2,5,0
"ASV476",0,0,0,0,11,0
"ASV477",0,0,0,0,8,2
"ASV478",0,0,0,0,9,5
"ASV479",0,0,0,0,0,14
"ASV480",16,0,0,0,0,0
"ASV481",8,0,0,0,3,0
"ASV482",7,11,0,0,0,0
"ASV483",0,23,0,0,0,0
"ASV484",0,0,9,0,0,0
"ASV485",0,0,4,6,0,0
"ASV487",0,0,0,11,0,0
"ASV488",0,0,0,0,13,0
"ASV489",0,0,0,0,0,11
"ASV490",15,0,0,0,0,0
"ASV491",8,0,0,0,0,0
"ASV492",0,22,0,0,0,0
"ASV493",0,22,0,0,0,0
"ASV494",0,0,2,5,3,2
"ASV495",0,0,0,0,6,3
"ASV496",0,0,0,0,7,6
"ASV497",11,0,0,0,0,0
"ASV498",11,0,0,0,0,0
"ASV499",4,0,0,0,9,0
"ASV501",0,0,6,0,0,0
"ASV502",14,0,0,0,0,0
"ASV503",7,0,0,0,0,0
"ASV504",0,20,0,0,0,0
"ASV505",0,16,0,0,0,0
"ASV506",0,0,5,4,4,0
"ASV507",0,0,0,12,0,0
"ASV508",6,0,6,0,1,0
"ASV509",0,19,0,0,0,0
"ASV510",0,19,0,0,0,0
"ASV512",0,0,6,1,0,0
"ASV514",0,0,0,3,3,2
"ASV516",12,0,0,0,0,0
"ASV517",11,0,0,0,0,0
"ASV518",0,18,0,0,0,0
"ASV519",0,0,4,7,0,0
"ASV520",0,0,0,0,2,5
"ASV521",0,0,0,0,0,8
"ASV522",11,0,0,0,0,0
"ASV523",0,17,0,0,0,0
"ASV524",0,17,0,0,0,0
"ASV525",0,17,0,0,0,0
"ASV526",0,0,0,9,0,0
"ASV527",0,0,0,0,5,6
"ASV528",10,0,0,0,0,0
"ASV529",10,0,0,0,0,0
"ASV530",0,16,0,0,0,0
"ASV531",0,16,0,0,0,0
"ASV532",0,16,0,0,0,0
"ASV533",0,14,0,0,2,0
"ASV535",0,0,1,4,7,0
"ASV536",0,0,0,7,0,0
"ASV537",0,0,0,0,0,5
"ASV538",11,0,0,0,0,0
"ASV539",11,0,0,0,0,0
"ASV540",9,0,0,0,0,0
"ASV541",2,0,3,3,0,0
"ASV542",0,15,0,0,0,0
"ASV544",0,0,0,8,0,0
"ASV545",10,0,0,0,0,0
"ASV547",6,0,0,0,0,0
"ASV548",12,0,0,0,0,0
"ASV549",0,14,0,0,0,0
"ASV550",0,0,7,0,0,0
"ASV551",0,0,3,0,0,0
"ASV552",0,0,9,0,0,0
"ASV553",0,0,0,5,0,0
"ASV554",0,0,0,5,0,0
"ASV555",6,0,0,0,0,0
"ASV556",5,0,0,0,0,0
"ASV557",9,0,0,0,0,0
"ASV558",3,0,0,0,0,0
"ASV559",4,0,0,2,0,3
"ASV560",0,13,0,0,0,0
"ASV561",0,0,7,0,0,0
"ASV562",0,0,0,0,2,3
"ASV563",9,0,0,0,0,0
"ASV564",6,0,0,0,0,0
"ASV565",7,0,0,0,0,0
"ASV567",2,0,0,1,0,0
"ASV568",0,12,0,0,0,0
"ASV570",0,12,0,0,0,0
"ASV572",0,0,3,3,0,0
"ASV573",0,0,0,3,0,0
"ASV574",0,0,0,0,4,4
"ASV575",0,0,0,0,0,7
"ASV576",8,0,0,0,0,0
"ASV577",0,11,0,0,0,0
"ASV578",0,0,3,0,0,0
"ASV579",0,0,3,2,0,0
"ASV580",0,0,3,1,0,0
"ASV581",0,0,0,6,0,0
"ASV582",0,0,0,0,2,0
"ASV583",0,0,0,0,0,2
"ASV584",0,0,0,0,0,5
"ASV585",6,0,0,0,0,0
"ASV586",7,0,0,0,0,0
"ASV587",6,0,0,0,0,0
"ASV589",0,0,3,0,0,0
"ASV590",0,0,6,0,1,0
"ASV591",0,0,2,0,0,3
"ASV592",0,0,0,8,0,0
"ASV593",0,0,0,0,6,0
"ASV594",8,0,0,0,0,0
"ASV596",3,0,0,0,0,0
"ASV597",0,9,0,0,0,0
"ASV598",0,9,0,0,0,0
"ASV602",0,0,0,2,0,0
"ASV603",0,0,0,5,0,0
"ASV604",0,0,0,0,5,0
"ASV605",0,0,0,0,4,0
"ASV606",3,0,0,0,0,0
"ASV607",0,6,0,0,0,1
"ASV608",0,0,4,0,0,0
"ASV609",0,0,0,2,0,0
"ASV611",0,0,0,5,0,0
"ASV612",0,0,0,0,5,0
"ASV613",4,0,0,0,0,0
"ASV615",0,0,0,3,0,0
"ASV616",0,0,0,4,0,0
"ASV618",0,0,0,0,0,4
"ASV619",0,0,0,0,0,5
"ASV620",0,0,0,0,0,5
"ASV621",4,0,0,0,0,0
"ASV623",0,6,0,0,0,0
"ASV624",0,6,0,0,0,0
"ASV625",0,6,0,0,0,0
"ASV627",0,0,5,0,0,0
"ASV628",0,0,2,2,0,0
"ASV629",0,0,1,2,0,0
"ASV630",0,0,0,2,0,0
"ASV631",0,0,0,2,0,0
"ASV632",0,0,0,5,0,0
"ASV633",0,0,0,0,4,0
"ASV634",0,0,0,0,4,0
"ASV635",0,0,0,0,0,3
"ASV636",3,0,0,0,0,0
"ASV637",0,0,3,0,0,0
"ASV639",0,0,4,0,0,0
"ASV640",0,0,0,4,0,0
"ASV641",0,0,0,3,0,0
"ASV642",0,0,0,2,0,0
"ASV643",0,0,0,0,2,0
"ASV644",0,0,0,0,2,0
"ASV645",0,0,0,0,0,3
"ASV646",0,0,0,0,0,1
"ASV647",0,0,0,0,0,3
"ASV648",3,0,0,0,0,0
"ASV649",3,0,0,0,0,0
"ASV650",3,0,0,0,0,0
"ASV651",3,0,0,0,0,0
"ASV652",0,4,0,0,0,0
"ASV653",0,4,0,0,0,0
"ASV654",0,4,0,0,0,0
"ASV655",0,0,1,0,0,0
"ASV656",0,0,1,0,0,0
"ASV657",0,0,1,0,0,0
"ASV658",0,0,2,0,0,0
"ASV659",0,0,0,2,0,0
"ASV660",0,0,0,3,0,0
"ASV661",0,0,0,3,0,0
"ASV663",0,0,0,1,0,0
"ASV664",0,0,0,2,0,2
"ASV666",0,0,0,0,3,0
"ASV667",0,0,0,0,0,4
"ASV668",3,0,0,0,0,0
"ASV669",2,0,0,0,0,0
"ASV671",0,3,0,0,0,0
"ASV672",0,0,1,0,0,0
"ASV673",0,0,2,0,0,0
"ASV675",0,0,1,0,0,0
"ASV677",0,0,0,3,0,0
"ASV678",0,0,0,3,0,0
"ASV680",0,0,0,2,0,0
"ASV681",0,0,0,0,1,0
"ASV682",0,0,0,0,1,0
"ASV683",0,0,0,0,0,2
"ASV684",0,0,0,0,0,2
"ASV685",0,0,0,0,0,1
"ASV686",1,0,0,0,0,0
"ASV687",1,0,0,0,0,0
"ASV688",2,0,0,0,0,0
"ASV689",0,2,0,0,0,0
"ASV692",0,0,2,0,0,0
"ASV693",0,0,1,0,0,0
"ASV694",0,0,1,0,0,0
"ASV695",0,0,0,1,0,0
"ASV697",0,0,0,1,0,0
"ASV698",0,0,0,0,2,0
"ASV699",0,0,0,0,0,1
"ASV700",0,0,0,0,0,1
"ASV701",0,1,0,0,0,0
"ASV702",0,0,0,1,0,0
